  team	      player	   season	season_end
462	2nd Team	Guy Lapointe 1974-1975 1975
463	2nd Team	Borje Salming	1974-1975	1975
464	2nd Team	Rogie Vachon	1974-1975	1975
465	1st Team	Rick Martin	1973-1974	1974
466	1st Team	Phil Esposito	1973-1974	1974
467	1st Team	Ken Hodge	1973-1974	1974
468	1st Team	Bobby Orr	1973-1974	1974
469	1st Team	Brad Park	1973-1974	1974
470	1st Team	Bernie Parent	1973-1974	1974
471	2nd Team	Wayne Cashman	1973-1974	1974
472	2nd Team	Bobby Clarke	1973-1974	1974
473	2nd Team	Mickey Redmond	1973-1974	1974
474	2nd Team	Barry Ashbee	1973-1974	1974
475	2nd Team	Bill White	1973-1974	1974
476	2nd Team	Tony Esposito	1973-1974	1974
477	1st Team	Frank Mahovlich	1972-1973	1973
478	1st Team	Phil Esposito	1972-1973	1973
479	1st Team	Mickey Redmond	1972-1973	1973
480	1st Team	Guy Lapointe	1972-1973	1973
481	1st Team	Bobby Orr	1972-1973	1973
482	1st Team	Ken Dryden	1972-1973	1973
483	2nd Team	Dennis Hull	1972-1973	1973
484	2nd Team	Bobby Clarke	1972-1973	1973
485	2nd Team	Yvan Cournoyer	1972-1973	1973
486	2nd Team	Brad Park	1972-1973	1973
487	2nd Team	Bill White	1972-197931973
488	2nd Team	Tony Esposito	1972-1973	1973
489	1st Team	Bobby Hull	1971-1972	1972
490	1st Team	Phil Esposito	1971-1972	1972
491	1st Team	Rod Gilbert	1971-1972	1972
492	1st Team	Bobby Orr	1971-1972	1972
493	1st Team	Brad Park	1971-1972	1972
494	1st Team	Tony Esposito	1971-1972	1972
495	2nd Team	Vic Hadfield	1971-1972	1972
496	2nd Team	Jean Ratelle	1971-1972	1972
497	2nd Team	Yvan Cournoyer	1971-1972	1972
498	2nd Team	Pat Stapleton	1971-1972	1972
499	2nd Team	Bill White	1971-1972	1972
500	2nd Team	Ken Dryden	1971-1972	1972
501	1st Team	John Bucyk	1970-1971	1971
502	1st Team	Phil Esposito	1970-1971	1971
503	1st Team	Ken Hodge	1970-1971	1971
504	1st Team	Bobby Orr	1970-1971	1971
505	1st Team	J.C. Tremblay	1970-1971	1971
506	1st Team	Ed Giacomin	1970-1971	1971
507	2nd Team	Bobby Hull	1970-1971	1971
508	2nd Team	Dave Keon	1970-1971	1971
509	2nd Team	Yvan Cournoyer	1970-1971	1971
510	2nd Team	Brad Park	1970-1971	1971
511	2nd Team	Pat Stapleton	1970-1971	1971
512	2nd Team	Jacques Plante	1970-1971	1971
513	1st Team	Bobby Hull	1969-1970	1970
514	1st Team	Phil Esposito	1969-1970	1970
515	1st Team	Gordie Howe	1969-1970	1970
516	1st Team	Bobby Orr	1969-1970	1970
517	1st Team	Brad Park	1969-1970	1970
518	1st Team	Tony Esposito	1969-1970	1970
519	2nd Team	Frank Mahovlich	1969-1970	1970
530	2nd Team	Stan Mikita	1969-1970	1970
531	2ns Team	John McKenzie	1969-1970	1970
532	2nd Team	Carl Brewer	1969-1970	1970
533	2nd Team	Jacques Laperriere	1969-1970	1970
534	2nd Team	Ed Giacomin	1969-1970	1970
535	1st Team	Bobby Hull	1968-1969	1969
536	1st Team	Phil Esposito	1968-1969	1969
537	1st Team	Gordie Howe	1968-1969	1969
538	1st Team	Tim Horton	1968-1969	1969
539	1st Team	Bobby Orr	1968-1969	1969
550	1st Team	Glenn Hall	1968-1969	1969
551	2nd Team	Frank Mahovlich	1968-1969	1969
552	2nd Team	Jean Beliveau	1968-1969	1969
553	2ns Team	Yvan Cournoyer	1968-1969	1969
554	2ns Team	Ted Green	1968-1969	1969
555	2nd Team	Ted Harris	1968-1969	1969
556	2nd Team	Ed Giacomin	1968-1969	1969
557	1st Team	Bobby Hull	1967-1968	1968
558	1st Team	Stan Mikita	1967-1968	1968
559	1st Team	Gordie Howe	1967-1968	1968
570	1st Team	Tim Horton	1967-1968	1968
571	1st Team	Bobby Orr	1967-1968	1968
572	1st Team	Gump Worsley	1967-1968	1968
573	2nd Team	John Bucyk	1967-1968	1968
574	2nd Team	Phil Esposito	1967-1968	1968
575	2nd Team	Rod Gilbert	1967-1968	1968
576	2nd Team	Jim Neilson	1967-1968	1968
577	2nd Team	J.C. Tremblay	1967-1968	1968
578	2nd Team	Ed Giacomin	1967-1968	1968
579	1st Team	Bobby Hull	1966-1967	1967
590	1st Team	Stan Mikita	1966-1967	1967
591	1st Team	Kenny Wharram	1966-1967	1967
592	1st Team	Harry Howell	1966-1967	1967
593	1st Team	Pierre Pilote	1966-1967	1967
594	1st Team	Ed Giacomin	1966-1967	1967
595	2nd Team	Don Marshall	1966-1967	1967
596	2nd Team	Norm Ullman	1966-1967	1967
597	2nd Team	Gordie Howe	1966-1967	1967
